ID,微博内容
1,"【宝鸡一男子自称为""老婆""街头裸奔】近日网传宝鸡市区有一男子裸奔，据该男子说媳妇要求他裸奔三圈才不和他离婚，他就照做了。金陵派出所接报警后，联系男子家人将其带回。其家人说，该男子今年25岁，未婚…根据治安处罚法，在公共场所故意裸露身体，情节恶劣的，处五日以上十日以下拘留。 ????????"
2,不能同意再多//@警民直通车-上海机场:相信每位警察遇到这样的情况，都会毫不犹豫去做
3,收到航班取消短信，可以从“114”查航空公司客服电话，再电话联系官方客服获取准确航班信息哦
4,【一图解读】[不要]别中招！“航班取消”短信是私人定制的骗局↓↓↓@央视评论员 ????????
5,【反恐处突“小快灵”！和田警方“猎豹突击队”凸显尖刀作用】在新疆和田各主干道、人员密集场所，随处可见“猎豹突击队”两人一组、驾驶警用摩托车持枪巡逻，其主要担负社会面巡控，街面警情、重大案事件的先期处置，以及对嫌犯追击、拦截、围堵、抓捕等任务，业已成为反恐处突、服务群众的重要力量。 ????????
6,【#广西淡定姐#横穿马路撞飞摩托 爬起来继续赶公交】近日，广西一位“淡定”大姐，横穿马路赶公交，撞上了正在行驶的摩托车，致司机当场飞出几米远，昏倒路边。而这位淡定姐起来拍拍身上的泥土，头也不回的走上了公交车。先不说违反交规这茬，再着急的事儿，也不能忘了人命关天。 ????????
7,#警察蜀黍是暖男#【湖南：事故现场，民警脱下大衣守护伤者】今天早上，包茂高速上一辆货车发生事故撞上护栏，司机被甩出驾驶室后跌落到五米高的桥下。天寒地冻，赶来的@湖南高速交警????保靖大队民警张璐毫不犹豫脱下警服大衣，盖在伤者身上，并且不断与他喊话，防止其昏迷，直至救护车赶到。 ????????
8,【太拼了！电话接通就喊“爸妈” 5年骗了近千万】 近日四川破获特大通讯诈骗案，嫌犯每天拨打400多个电话，利用空巢老人心理，电话一接通，是女的就喊妈，是男的就喊爸，5年诈骗近千万。O一天打400个电话 接通就喊“爸妈” 治安局提醒：快过年了，骗子蠢蠢欲动，莫轻信，也得提醒身边老人。(图@人民日报) ????????
9,【新骗局！银行卡内12.2万元被转走？！】近日，浙江温州赵先生接到“010”开头的固话来电称银行卡被盗刷12.2万，一查账户钱真！不！见！了！①骗子打提醒电话为套取信息；②制造支出假象为增加可信度；③盗网银密码转移账户资金；④钱只是被转到另一个子账户。↓↓扩散提醒！
10,【黑龙江：8龄童溺亡冰窟 事前救起11岁落水玩伴】近日，兰西县8岁男孩小棋在鱼池旁玩耍时，不慎掉进冰窟窿内溺亡。事发前小棋曾将1名玩伴救出。据初步调查，此事系意外事故。治安局提醒：溺水是中国儿童非正常死亡头号杀手！正值寒假，家长一定注意孩子安全，教其发现危险抓紧报警或向大人求助。 ????????
11,【两位古稀老人见义勇为 协助警方抓获抢劫嫌犯】25日，武昌区第一幼儿园，一男子盗窃电动车时，被两位70岁的董爹爹、陈爹爹发现，男子逃跑时摔倒并掏出水果刀威胁，两位老人奋不顾身将其按住，陈爹爹的左手还被割伤。随后警方赶到制服男子。宝刀未老，集赞！
12,【江西“夺刀少年”被评为“2014中华儿女年度特别推荐人物”】在今天2014#中华儿女#发布仪式上，柳艳兵、易政勇被评为2014中华儿女年度特别推荐人物。[好棒]当时为江西宜春三中高三学生的柳艳兵、易政勇，在奔赴高考途中见义勇为勇斗歹徒，被全国人民所称道。
13,【定兴烧杀案嫌疑人已被抓获】今天上午，定兴县通报，11岁少女被烧杀一案已经破案，犯罪嫌疑人已被抓获。具体原因还在调查中。
14,昨天，宝应县见义勇为基金会给亚森发了2000元见义勇为奖金。正能量，走起！
15,【跳入刺骨河水救人 维族小伙棒棒哒】29日18时许，江苏宝应的天空还在下着雪，雍女士骑经窑河时不慎落入水中。正在路边摊馕饼的新疆英吉沙县维吾尔族小伙亚森·如则，来不及脱衣服，扑通跳入寒冷刺骨的河水中，把雍女士用力往上托举，在附近群众的帮助下将雍女士安全救上了岸。@超级微警务-宝应 ????????
16,#治安局安全风险提示#1月28日，河北保定11岁女孩静静从妈妈上班工厂单独回家做饭，在途经的村外果园被残忍地杀害并遭焚烧。此案性质极其恶劣，当地警方正在全力抓捕凶手。治安局提醒：保护好孩子安全，一定要教会他们以下10个问题，不让坏人有机可乘！ ????????
17,【脚踹交警下体 脱衣吻路人女司机：对不起，请大家原谅我】28日晚，成都一疑似酒驾宝马车女司机撞上一辆出租车后，街头撒野，大骂路人，处理事故的交警在向她询问情况时，对方突然不由分说，飞脚直击他的下体…女司机刘某被罚款2000元、吊销驾照且五年内不能申领，或还将面临拘役。O网页链接 ????????
18,【孩子考试成绩太差 被父罚寒风中下跪】 英语9分、数学37分、语文20分，父亲看到儿子的期末成绩单，怒把儿子赶下楼，让其在寒风中下跪。视频显示：孩子拉都拉不起来，一言不发，在寒风中跪了几个小时。L实拍孩子考试成绩不理想 被父亲罚寒风中下跪暴力教育，真能解决问题？一旦对孩子造成安全伤害，家长将承担法律责任。 ??????????查看图片
19,【震撼！监拍民警徒手与歹徒搏斗 被捅16刀殉职】28日晚，湖北监利县民警刘勇下班路经某停车场时，发现数人因琐事斗殴上前制止，徒手与持刀歹徒搏斗被捅，为防止歹徒伤及无辜群众，满身是血的刘勇死死拽住歹徒，又遭捅数刀身亡，年仅35岁。L民警下班路上徒手与歹徒搏斗 被捅16刀殉职英雄本色，可歌可泣！再致敬！ ????????
20,【为这位洋协勤点个赞】1月29日上午，在沈阳文化路三好街岗，俄罗斯女子阿夏身着协勤服，站在寒风中指导行人文明过马路。在执勤过程中，阿夏手拿红色小旗，每个动作都很标准，指导着行人有序通行。阿夏是东北大学一名留学生，来沈阳有8年了，有感情，热心公益。第四图中的大叔，你在看啥捏？ ????????
21,有一种人，能在两驱和四驱之间自由切换 ????????
22,【你愿为她转发愿望吗？环卫工的孩子：叔叔阿姨少放点炮 爸妈能早回家】季妮雪，父母是环卫工，被问新年愿望，她说：“大家新年都少放点鞭炮吧！那样爸爸妈妈就能早点回家…”你知道吗？春节，当你享受团圆，不少环卫工只能在路边过年。 为环卫工回家，过年少放鞭炮，支持转！@人民日报 ????????
23,【请让所有女孩知道！#那些机智的脱险#】四川女研究生晨跑时遭遇持刀抢劫，机智撒钱逃生；杭州王姑娘路遇口罩男持刀抢劫，突吻劫匪并哭喊“我失恋了，带我走吧”，最终逃脱…那些斗智斗勇的姑凉们，平时可能也是萌妹纸！治安局提醒：智取胜于强攻，防范强于迎战。戳图看看，万一用到了呢？扩散！ ????????
24,所以大多数民警胃不好//@石家庄公安网络发言人:不知你们今晚的晚餐吃得是否顺利，许多时候，警察蜀黍刚吃上几口，警情来了，放下饭碗就去出警，等处理完警情回来，饭早就凉了......
25,
26,为你们加油！
27,祝各位周末愉快//@战斗力只有0点5的渣渣:公安部的官微好无节操
28,【福建：2岁幼女惨遭老乡猥亵】白某到福建打工一直没找到工作。困境中，老乡许某收留他在自己工地打杂，可他竟猥亵人家2岁女儿！现白某被批捕。O2岁幼女惨遭猥亵色魔竟是老乡 好意收留却引狼...治安局提醒：未成年性侵案多为熟人作案，手段主要有暴力、胁迫、社交、诱惑、滋扰，地点常在公共场所和僻静处。家长注意！ ????????
29,论微信、微博的正确使用
30,萌蜀黍是新疆伊犁州的伊犁夏提。视频是26号在车里吃午饭时拍的，当时为了调节一下紧张疲惫的情绪，不料被“插刀教”同事放网上了。咳咳，平时他严谨、认真、负责，没想到第一次跟网友见面就彻底颠覆了形象…
31,【乌鲁木齐：5家商户上缴2100余把管制刀具】29日，乌鲁木齐五家商户主动上缴刀身长度超过22厘米以上管制刀具2100余把。根据统一部署，乌市警方还将加大对刀具生产、销售环节的检查整治，落实刀具销售实名登记、刀具激光打码、人刀分离（购买的刀具必须邮寄）等制度，实现刀具销售完整的流向监控。 ????????
32,经济适用男一枚O网页链接 ????????
33,忠诚??勇敢??酷炫——新疆伊宁市公安局汉宾派出所的警察蜀黍 ????????
34,【成都：一疯牛城中撒野连伤4人 民警上演“西班牙斗牛”】29日下午，一头待屠宰的公牛突然跳车，“任性”的跑在郫县城区，横冲直撞逼停车辆并连伤四人，街面乱作一团。最终巡逻民警连开4枪，再用车撞，合力制服疯牛。其中一名民警腿部网球大伤口。警察蜀黍专治各种“任性”…O网页链接 ????????
35,【孟建柱会见泰国司法部长派汶 郭声琨参加会见】孟建柱说，中方愿同泰方深化各领域交流，提升合作规模和水平。孟建柱指出，法治交流与司法合作是中泰关系的重要组成部分。中泰应深入开展法律和司法领域交流与合作，为两国关系的全面发展提供更为有效的法律服务和保障。O网页链接 ????????
36,萌萌哒~这些霸气十足的机器战警，是新疆公安边防总队官兵用射击训练的弹壳，制作的“擒敌能手”模型。不仅废物利用，还能在动手过程中精修擒敌技能。必须点30多个赞！ ????????
37,【四川：女研究生晨跑被劫危急时…她撒钱逃生】女研究生杨丽（化名）晨跑时，在岷江边遭遇持刀抢劫，并被挟持掳走。杨丽与嫌疑人不断周旋，记车牌、拉家常、发短信求救……在被挟持约1个小时后，杨丽将钱财抛撒一地，趁机成功逃脱。目前，嫌疑人已被抓获。O网页链接 晨跑夜跑最好结伴而行 ↓ ????????
38,【民工眼睛扎入铁钉 特警狂奔与时间赛跑】安徽含山县一民工不慎被一根7厘米长的铁钉扎入眼睛血流不止，却因身处大雪漫天的工地难以及时找到救命车辆，正当求助无望之时，执行其他处警任务的含山特警路过工地，连忙开展救助，最终为受伤民工抢回了救治的黄金时间。眼睛保住了！O网页链接 ????????
39,"【母亲溺亡前致电女儿：我掉河里了 你要照顾好自己】28日，陕西宝鸡一辆雪铁龙轿车疑因雪天路滑坠入引渭渠。打捞上岸时，女司机已不幸身亡。女司机在生命最后时刻哭着给女儿打电话：""我车掉河里了，你要照顾好自己…""通话过程仅30多秒。O宝鸡女司机生命最后时刻对女儿打了30多秒电话雪天行车注意安全，汽车落水这样自救↓ ????????"
40,【“孕妇为夫猎艳案”主犯白云江被执行死刑】今天经最高人民法院核准，“孕妇为夫猎艳案”主犯白云江被执行死刑。2013年7月24日孕妇谭蓓蓓称身体不适骗女孩胡依萱送其回家，将女孩迷晕，谭蓓蓓丈夫白云江欲强奸女孩。事后二人将女孩杀害。法院最终判处白云江死刑，谭蓓蓓无期徒刑。O黑龙江桦南孕妇为夫猎艳案主犯白云江30日被执... ????????
41,是不是似曾相见？雪中交警的温暖影像↓↓↓你渴望冬雪的浪漫，他们只盼交通的平安；你欣赏动人的雪景，而他们是忙碌的“雪警”……#警察蜀黍是暖男# ????????
42,"【你还敢停车不熄火吗？】前年长春""盗车杀婴""案中，周某(死刑)盗走一未熄火的车，还残忍将车上婴儿勒死。不少司机短暂离开车时往往不锁车甚至不熄火。浙江富阳的华先生就因此车娃并丢——警方20分钟布下天罗地网，原来是其好友路过，想给他个教训，把车开走还带走了儿子…O不锁车不熄火，反正一会儿就回来 没想到，车... ????????"
43,【警惕！微信诈骗瞄上“萌宠”】据央视，江苏的洪女士近日在微店看中一只石猴，见卖家提供了非国家重点保护野生动物驯养繁殖许可证，便支付了2500元。第二天，卖家以租氧气箱为由索要1500元。洪女士感觉可能上当，赶忙报警。治安局提醒：石猴属国家二级保护动物，任何私自饲养、买卖行为都违法。 ????????
44,当晚，某会所停车场有数名年轻人因琐事斗殴，保安上前制止被刀捅伤，持刀男子张某气焰嚣张，围观群众生命安全受到威胁。刘勇路过，即向辖区派出所报警并上前制止。张某企图逃离，刘勇紧随其后，张某突然回头朝其猛刺。为不伤及群众，浑身是血的刘勇强忍剧痛，死死拽住张某…
45,"【机智！口罩男持刀抢劫????""失恋""女孩亲其一口求带走】 @浙江公安????杭州王姑娘凌晨下班回家，路遇口罩男持刀抢劫。她先谎称失恋，拉下劫匪口罩亲了一口，之后假装配合，取钱路上发现机会立即逃脱报警。2星期后，劫匪落网。治安局提醒：遇伤害，忌正面冲突，待对方情绪平稳时，再找机会脱身报警。 ????????"
46,#警察蜀黍是暖男#【湖北∶民警脱警服给迷路妇女取暖并助其回家】近日，阳新县韦源口派出所民警接警后，在现场发现一妇女仅穿一件毛衣，下身赤裸、赤脚坐在地上瑟瑟发抖，两膝盖受伤，且神志不清。民警董施雨立马脱掉警服披在其身上，将其抱上车送至卫生院，随后联系到其丈夫。O网页链接 ????????
47,"【黄明会见塔吉克斯坦共和国内务部副部长索列赫佐达】黄明表示，中塔双方在防范打击""三股势力""、缉捕遣返犯罪嫌疑人、警务人员培训和警用技术装备交流等方面开展了全面、务实合作。中方愿在现有基础上进一步深化与塔内务部在打击""三股势力""领域合作，扩大成果，不断提升合作水平。O网页链接 ????????"
48,【[推荐]年底了，#13种火车站骗术#必须得留神↓↓】说一千道一万，好奇害死猫、天上不会掉馅饼、别轻信陌生人……涉及到财物，免谈！杀手锏——遭遇骗术立即报警！ ????????
49,【男子地铁关门前抢手机 不料对方长跑运动员】@南京地铁公安施Sir????27日晚，南京地铁二号线，一男子趁车门即将关闭时，突然抢走一中年女性手中的iphone 6plus夺门跳车。曾是长跑运动员的受害女，当即扒开正关闭的车门跳车猛追…最终和地铁警方合力抓获嫌疑人。你不是长跑冠军，别作低头族啦↓↓ ????????
50,【英雄，不只在那一刻……】刘勇，男，1980年出生，监利县新沟镇人，毕业于中国刑事警察学院（侦查专业）， 2003年参加公安工作，先后在监利县公安局新沟派出所、容城派出所工作。2个月前，他刚刚因成功办理省公安厅督办的涉黑案件，荣立个人三等功一次。
51,#别让诈骗夺走安全感#“他们”说的话↓↓↓你曾经相信了几个？ 听蜀黍一句劝吧，别任性了…… ????????
52,29日凌晨6时许，在警方强大的攻势下，张某投案自首。目前，案件正在进一步侦办之中。英雄安息！
53,痛心！
54,【民警果断鸣5枪 制服3名拒捕盗贼】1月26日，广东台山市警方在抓捕一个流窜作案入室盗窃团伙过程中，遭到3名歹徒拒捕反抗，并连续2次开车撞击阻截车辆。执法民警依法警告无效后，先后鸣枪5次，终将3名歹徒成功制服。抓捕行动中无人员伤亡。目前，该案正在进一步调查中。 ????????
55,【湖北监利派出所民警刘勇抓捕持刀歹徒 被捅16刀壮烈牺牲】1月28日晚，湖北荆州市监利县容城派出所民警刘勇，路经某停车场时，发现数人因琐事斗殴，身着便装的他上前制止，徒手与歹徒搏斗，被捅16刀，被匕首捅进右心室，壮烈牺牲，年仅35岁。英雄，一路走好！@平安荆楚 ????????
56,//@江南警哥:史上最蠢萌的警察蜀黍，简直把持不住惹！
57,【南京女学生守候街头醉汉 获警方表彰】去年12月30日晚，南京一男子因醉酒倒在路中央，路过的中学生王瑞莺和李妙妍发现后，为防止醉汉被车撞，用身体做起人墙，提醒路过车辆，一直守护醉汉到民警来才离去。 南京警方日前向王同学颁发了表彰证书和奖金。O男子醉街女学生一直守候获赞你不冷漠，世界才温暖。 ????????
58,【转给你关心的她！女性单独驾车安全须知】①出行前检查随车证件；②遇到陌生人问话，车窗只摇下1/4；③上、下车前之一观察环境；④上车后锁上所有车门；⑤驾车出行要选择安全的行车路线；⑥尽量选择光线明亮处停车；⑦遇到诈骗找警察；⑧贵重物品要放好；⑨常备防身物品。
59,26日晚，成都市大邑县 花水湾派出所民警顾兴庆在抓捕一伙正在进行毒品交易的嫌疑人时遭遇暴力拒捕，毒贩驾车逃跑，将顾兴庆撞倒卷入车底盘下拖行十余米…警方已抓获嫌犯。[玫瑰]祝战友早日康复！
60,咱们派出所的大喜事儿！西尔艾力，新婚快乐！转起，送祝福！
61,【女子公交没让座遭老汉暴打 被骂闭眼在装】长春杨女士称，24日她乘坐154路公交车时，因为没给一位老人让座，被他一顿暴打。公交司机说确有一位老人因没让座而动手，“这大叔说话太伤勒俄扎确实过分，说不如我家养的狗，搁谁谁能舒服”。L实拍：女子公交上睡着未让座 遭八旬老人辱骂...派出所正在调查。无论何原因，暴力不可取！ ????????
62,当晚21时35分，妻子打电话给他：“忙着呢吗？家人都在等你。”刘锦龙匆忙回答：“出任务呢，一会儿就回去，你们先睡！”便挂断电话，妻子一句“一定多加小心”悬在了嘴边。不料，匆匆几秒的通话后，一家人从此阴阳两隔。“爸，我恨你，你咋就走了…”刘锦龙年仅11岁的女儿哭着说。
63,"【救命药也造假！广东查获1.3万粒假冒安宫牛黄丸】广东警方近期一举捣毁12个制售假冒北京同仁堂“""安宫牛黄丸""的窝点，抓获20名嫌犯，现场查获假冒""安宫牛黄丸""成品和半成品1.3万粒，假冒""同仁堂""、""安宫牛黄丸""标识52.5万枚及作案工具一大批，涉案金额3000多万人民币。 O假安宫牛黄丸救不了心误人命　　 ????????"
64,【扩散！谁丢下了这么可爱的他？】28日早上9时许，浙江嵊州长乐派出所接报警，称开元到太平的田畈里有一名婴儿在啼哭。出警后民警发现为一男婴，询查后未发现婴儿家属，现婴儿在长乐派出所内由民警照顾。孩子6，7个月大，去医院检查后身体良好，如有线索请及时和@嵊州公安 、????长乐派出所联系。 ????????
65,【小心！武汉男子充电时翻看新闻 手机爆炸致肩关节粉碎性骨折】边充电边玩手机，汉口的李先生手臂被炸得皮开肉绽、肩关节粉碎性骨折。O男子充电时翻看新闻 手机爆炸致肩关节粉碎性... 专家提醒：边用手机边充电，可导致锂电池在特殊情况下瞬间放电产生大量电流，引发爆炸。近年，手机充电不当引发的事故并不少见，安全贴士必读↓ ????????
66,当晚，刘锦龙主动请缨来到了偏远一些的小五家子屯卡口执行任务。在嫌犯驾驶三菱吉普撞过来时，刘锦龙鸣枪示警无效，吉普车反而加大了油门朝他冲了过来。他顺势紧紧攥住了吉普车的前保险杠，丧心若狂的犯罪分子继续驾车并左右打舵，高速行驶600多米时，将刘锦龙甩脱后撞击…
67,【父母记住这7点，[不要]别让你的疏忽害了孩子！】①外出时给孩子穿鲜艳颜色的衣服；②时刻保证孩子在视线范围之内；③有急事时也千万别让陌生人照看孩子；④别让外人代替接送孩子；⑤熟记孩子体貌特征，以备急用；⑥尽量不要带孩子到人员复杂拥挤的场所；⑦注意防范后面来的摩托车、面包车。
68,【大庆民警刘锦龙在执行查缉任务时遭歹徒袭击 壮烈牺牲】16日晚22时许，肇源县公安局油田保卫大队民警刘锦龙执行查缉可疑油品运输车辆任务时，指令一疑似运输盗窃油品的罐车停车检查，却遭嫌疑人同伙从后方驾车疯狂撞击，拖行600多米…当场壮烈牺牲，年仅39岁。3嫌犯均已落网。战友，一路走好！ ????????
69,【湖北：一名男子长期流窜医院专偷病人财物被拘】一男子长期流窜于医院之中，利用病人疏于防范的心理，盗窃财物。经过警方持续追踪，已将这一男子抓获，并依法将其刑拘。治安局提醒：在医院等人群密集的公共场所，一定要注意保管好自己的财物，千万别给不法分子可乘之机↓ ????????
70,#风雪中蜀黍在你身边#近期，全国多地降雪降温。风雪中，随处可见巡逻民警、派出所民警、特警…当然还有交警的身影 ????????
71,【合肥：老人被撞倒拒去医院 称给对方省钱】李女士下车开门时，不慎撞倒一位骑电动车的老人，吓坏了，忙扶起他。老人说自己可能手指骨折，却拒绝去医院。面对李女士劝说，老人说去医院肯定要花不少钱，回家休养一下就行，然后一只手骑电动车走了…O老人被车门撞倒拒去医院 称给对方省钱老人很善良；开车门要小心↓ ????????
