ID,微博内容
1,【手机丢了，支付宝、微信支付怎么办？】果断把这些事先做了！①打电话挂失、冻结SIM卡，尽快补办。（中国移动10086，中国联通10010，中国电信：10000）②拨打95188报案，解绑支付宝，冻结支付宝；③登录OQQ安全中心为您的腾讯在线生活提供安全护航。...????冻结微信账号；④冻结网银、手机银行。#平安五一行#
2,"#我在岗位上#【""五一""小长假首日交通形势平稳 蜀黍酱紫滴↓】4月30日“五一”小长假第一天，截至18时，全国道路交通形势平稳有序，未接报一次死亡5人以上道路交通事故…各地公安交管全警动员查处交通违法行为，出动警力12.4万人次，启动交警执法站3000个，设置临时执勤点8000个。 O“五一”小长假首日交通形势平稳 蜀黍告诉你如... ????????"
3,"#警察蜀黍是暖男#【今天是国际#不打小孩日#！你愿为这个日子转发吗？】你知道吗？今天是国际不打小孩日！也称""无巴掌日""。最早由一个美国反体罚民间组织“有效管教中心”发起，有众多国家参与。对待孩子，请懂得引导与尊重，眼下这个""不可理喻""的小孩，可能就是当初的你…此刻，为孩子，转发倡议！ ????????"
4,#剑指诈骗#【97名电信诈骗嫌犯从马来西亚被押解回国 包括32名台湾籍嫌犯】今晚7点45分，搭载97名电信诈骗犯罪嫌疑人（大陆65人，台湾32人）的民航包机从马来西亚飞抵广州，涉及国内20余个省区市的100多起特大跨境电信诈骗案成功告破。 °97名电信诈骗犯罪嫌疑人从马来西亚被押解回国... ????????
5,[推荐]咱们所里的老民警把你想不到的都想到了，实乃居家防范之必备。ps：这位民警看着眼熟不？#我在岗位上##蜀黍带你涨姿势#
6,【这条微博一定要知道！孩子丢了立刻报警，不用等24小时！】①第一时间报警，不用等24小时！动员亲朋好友到车站等交通要道堵截人贩子；②到事发地调看监控录像；③家长要及时采血，进入打拐DNA库，这是免费的；④到周边救助站、福利院等地寻找；⑤向寻亲网站提供失踪儿童信息。#平安五一行#
7,【心疼！8岁男童右脚被叉车切断 轻声安慰妈妈别哭】28日江西吉安，一叉车将一小轿车横向刺穿，坐在小轿车后排8岁男童右脚不幸被刺穿。疼痛不已的男童不住地安慰妈妈“不要哭”，这种坚强让在场的消防员心疼不已。O网页链接 O心疼！吉安8岁男童右脚被叉车切断 轻声安慰妈...面对酱懂事的孩子，成年人们还会不守交规吗？ ????????
8,帅！#警营正能量##我在岗位上#
9,相信你，做的到！//@六安公安在线:一定文明出行。 //@湖南公安:#五一出行# 嗯，一定要守交通法!
10,#平安五一行#【看了这个动图，你还敢闯红灯吗？】近日，新疆乌鲁木齐，一辆电动车闯红灯，结果撞上一辆轿车，电动车驾驶人被撞得空中翻转一圈后摔在地上↓↓生命可贵，请勿闯红灯！ ????????
