序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #成都交通路况#19:57时，成雅高速新津南收费站和新津东收费站已打开，民警现场疏导。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 19:57,3,2,2,360安全浏览器,FoeOG07aw
2,"
                                                                                                    #成都交通路况#19:54时，成南高速义和收费站已打开，民警现场疏导。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 19:55,转发,评论,1,360安全浏览器,FoeNx5xEO
3,"
                                                                                                    #成都交通路况#19:54时，成雅高速双流南收费站，双流北收费站已打开，民警现场疏导。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 19:54,转发,评论,赞,360安全浏览器,FoeNdjHcV
4,"
                                                                                                    #成都交通路况#19:04时，二环高架：成温射线进城方向西南财大上行匝道, 临时交通分流结束交通恢复。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 19:04,转发,1,1,360安全浏览器,FoesZfYNM
5,"
                                                                                                    #成都交通路况#19:03时，成自泸高速二峨山隧道出泸州方向发生交通事故车多缓行，现交警对兴隆收费站和大林收费站进行临时管控，请广大驾驶员通过二绕，老成仁路上文宫收费站进行绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 19:03,转发,评论,1,360安全浏览器,Foesv6Ikg
6,"
                                                                                                    #成都交通路况#19:02时，三环路：成渝立交至航天立交主出辅匝道的临时交通管控结束交通恢复。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 19:02,转发,1,赞,360安全浏览器,Foes4dug4
7,"
                                                                                                    #成都交通路况#18:57时，二环高架：双楠立交至成温立交内侧家园上行匝道，临时交通分流结束交通恢复。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:57,转发,评论,赞,360安全浏览器,Foeq9qDiS
8,"
                                                                                                    #成都交通路况#18:41时，二环高架：双桥子立交至科华立交内侧摩玛城上行匝道，临时交通分流结束交通恢复。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:41,转发,评论,1,360安全浏览器,FoejCjYKA
9,"
                                                                                                    #成都交通路况# 18:38时，成雅高速出城方向车多缓行，现交警对新津南收费站和新津东收费站进行临时交通管控，请前往该路段的驾驶员朋友提前进行绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:38,转发,评论,赞,360安全浏览器,FoeiB5qMz
10,"
                                                                                                    #成都交通路况#18:35时，成自泸高速：成自泸高速二峨山隧道出泸州方向发生交通事故车多缓行，现交警对兴隆收费站和大林收费站进行临时管控，请广大驾驶员通过老成仁路进行绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:35,转发,2,2,360安全浏览器,Foehl4fof
11,"
                                                                                                    #成都交通路况#18:32时，二环高架：成温射线进城方向车辆排行较长，行驶速度缓慢，交管部门已采取临时交通管理措施，西南财大上行匝道暂时关闭，请驾驶员朋友绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:32,转发,评论,赞,360安全浏览器,Foeg75peY
12,"
                                                                                                    #成都交通路况#18:23时，天府大道：天府立交进城方向车辆排行较长，行驶速度缓慢，请广大驾驶员选择剑南大道，益州大道，红星路，成仁路完成进城转换。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:24,1,评论,赞,360安全浏览器,FoecHdXlq
13,"
                                                                                                    #成都交通路况#18:17时，二环高架：双楠立交至成温立交内侧车辆排行较长，行驶速度缓慢，交管部门已采取临时交通管理措施，家园路上行匝道暂时关闭，请驾驶员朋友绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:18,转发,评论,1,360安全浏览器,FoeatyyXC
14,"
                                                                                                    #成都交通路况#18:17时，二环高架：双桥子立交至科华立交内侧车辆排行较长，行驶速度缓慢，交管部门已采取临时交通管理措施，摩玛城上行匝道暂时关闭，请驾驶员朋友绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 18:17,转发,评论,1,360安全浏览器,Foea7FzhM
15,"
                                                                                                    #成都交通路况# 17:48时，成南高速龙泉驿段双向车多缓行，现交警对义和收费站进行临时交通管控，请前往该路段的驾驶员朋友提前进行绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:48,转发,1,赞,360安全浏览器,FodYk4nGA
16,"
                                                                                                    #成都交通路况# 17:47时，成雅高速出城方向车多缓行，现交警对双流南收费站和双流北收费站进行临时交通管控，请前往该路段的驾驶员朋友提前进行绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:47,转发,评论,1,360安全浏览器,FodXCjzBZ
17,"
                                                                                                    #成都交通路况# 17:28时，绕城高速：因绕城高速车流量较大通行缓慢，而实施的临时交通管控现已打开。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:28,转发,评论,赞,360安全浏览器,FodQcdCCF
18,"
                                                                                                    #成都交通路况# 17:24时，二环高架：营门口立交至成温立交外侧清溪西路上行匝道, 临时交通分流结束交通恢复。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:24,转发,评论,赞,360安全浏览器,FodOwtPmV
19,"
                                                                                                    #成都交通路况#17:24时，二环高架：双楠立交至成温立交内侧家园上行匝道，临时交通分流结束交通恢复。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:24,转发,评论,赞,360安全浏览器,FodOrsoVr
20,"
                                                                                                    #成都交通路况# 17:20时，因绕城高速车流量大通行缓慢，现对总体流量进行临时交通管控，建议所有货运车辆通过放射性国道、省道、第二绕城高速进行转换绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:20,转发,评论,赞,360安全浏览器,FodMVvY9P
21,"
                                                                                                    #成都交通路况#17:13时，二环高架：双桥子立交至科华立交内侧摩玛城上行匝道，临时交通分流结束交通恢复。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:13,转发,评论,赞,360安全浏览器,FodK1iQSD
22,"
                                                                                                    #成都交通路况# 17:09时，因绕城高速车流量大通行缓慢，现对总体流量进行临时交通管控，建议所有货运车辆通过放射性国道、省道、第二绕城高速进行转换绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 17:09,转发,评论,赞,360安全浏览器,FodIq0ou5
23,"
                                                                                                    #成都交通路况# 16:59时，绕城高速：因绕城高速车流量较大通行缓慢，现对总体流量进行临时交通管控，除天府收费站、天府收费站和犀浦收费站外，其余各站点货运车辆不能驶入，建议货车驾驶员避开绕城高速提前绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 16:59,转发,评论,1,360安全浏览器,FodEoBYDI
24,"
                                                                                                    #成都交通路况#16:50时，二环高架：双楠立交至成温立交内侧车辆排行较长，行驶速度缓慢，交管部门已采取临时交通管理措施，家园路上行匝道暂时关闭，请驾驶员朋友绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 16:50,转发,1,赞,360安全浏览器,FodAE3pLp
25,"
                                                                                                    #成都交通路况# 16:48时，二环高架：双桥子立交至科华立交内侧车辆排行较长，行驶速度缓慢，交管部门已采取临时交通管理措施，摩玛城上行匝道暂时关闭，请驾驶员朋友绕行。实时路况信息请关注百度地图，注意收听省市交通广播FM101.7、FM91.4。 ​​​​                                            ", 9月30日 16:49,转发,1,赞,360安全浏览器,FodAelmii
