序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【李克强签署国务院令 公布修订后的《中华人民共和国商标法实施条例》】这次修改,主要是根据商标法修改内容对相关制度予以补充、细化,并根据实践需要,将商标审查、审理和管理工作中一些比较成熟的做法上升到条例中,进一步解决注册商标专用权保护、商标代理等方面的一些具体问题。O网页链接 ​​​​                                            ", 2014-4-30 22:17,167,评论,31,微博 weibo.com,B2aMz6XNo
2,"
                                                                                                    【李克强：让亿万劳动者工作更舒心、生活有保障】一要加强就业服务，建立终身职业培训体系。二要强化安全生产监督执法，加强安全防护和职业病防治。三要健全企业工资分配制度，使劳动者工资增长与经济发展相适应。严厉打击恶意欠薪。四要完善社会保障，逐步建立健全社会保险待遇确定和正常调整机制。                                            ", 2014-4-30 21:15,78,评论,113,政府版微博,B2anss4dy
3,"
                                                                                                    对离校未就业高校毕业生实现灵活就业并办理实名登记、缴纳社会保险费的，2年内给予一定数额的社会保险补贴。加大就业困难高校毕业生帮扶。国有企业招聘应届高校毕业生，要在政府网站发布信息，对拟聘人员进行公示。简化高校毕业生在不同地域和所有制单位流动就业的落户等手续。                                            ", 2014-4-30 21:14,79,评论,113,政府版微博,B2amSoBqZ
4,"
                                                                                                    【李克强：要把高校毕业生就业放在今年就业工作的突出位置】将小微企业招用高校毕业生享受社会保险补贴政策延长至2015年底。启动实施“大学生创业引领计划”，落实和完善创业扶持政策，帮助更多高校毕业生自主创业。在电子商务网络平台开办“网店”的高校毕业生，可享受小额担保贷款和财政贴息政策。                                            ", 2014-4-30 21:13,53,评论,113,政府版微博,B2amqlvXo
5,"
                                                                                                    【李克强：采取果断有力措施 促进进出口平稳增长】一是优化外贸结构。支持进口先进技术设备、关键零部件，合理增加与群众生活密切相关、必要的一般消费品进口。二是提高贸易便利化水平。三是改善融资服务。四是进一步加快出口退税进度，保证及时足额退税。五是增强企业竞争力。                                            ", 2014-4-30 21:00,18,评论,113,政府版微博,B2ahl37Ek
6,"
                                                                                                    【李克强应约同澳大利亚总理就马航失联客机下阶段搜寻工作进行沟通】李克强指出，澳大利亚、马来西亚和中国三方舰船将继续开展搜寻，同时重点将转入更大范围的水下搜寻。难度会更大，任务会更重，时间会更长，但必须保持工作连续性，不能松懈，这是对机上人员家属应尽的责任。O网页链接 ​​​​                                            ", 2014-4-30 20:52,12,评论,15,微博 weibo.com,B2adVso1t
7,"
                                                                                                    【李克强主持召开国务院常务会议】国务院总理李克强4月30日主持召开国务院常务会议，部署支持外贸稳定增长和优化结构有关工作，确定进一步促进高校毕业生就业创业的政策措施，听取关于劳动者基本权益保障工作汇报并提出要求。 ​​​​                                            ", 2014-4-30 18:46,3292,评论,113,微博 weibo.com,B29oTl5UG
8,"
                                                                                                    【生活垃圾分类示范城市申报启动 需具备四条件】住建部、发改委等5部委日前下发通知，决定组织开展生活垃圾分类示范城市工作。通知明确了示范城市应具备的4个条件，并强调，5月31日前将推荐材料报住建部城市建设司。五部委将于2015年年底组织对示范城市建设效果进行评估总结。 O网页链接 ​​​​                                            ", 2014-4-30 13:56,49,评论,11,微博 weibo.com,B27vefKkw
9,"
                                                                                                    应非洲联盟轮值主席、毛里塔尼亚伊斯兰共和国总统阿齐兹和非洲联盟委员会主席祖马邀请，李克强将于5月5日对非盟总部进行正式访问。应世界经济论坛主席施瓦布邀请，李克强将在访尼期间于5月8日出席在尼日利亚首都阿布贾举行的第24届世界经济论坛非洲峰会全会。                                            ", 2014-4-30 12:22,11,评论,14,微博 weibo.com,B26T6zTLd
10,"
                                                                                                    【李克强将访问埃塞俄比亚和非盟总部、尼日利亚、安哥拉、肯尼亚】应埃塞俄比亚联邦民主共和国总理海尔马里亚姆、尼日利亚联邦共和国总统乔纳森、安哥拉共和国总统多斯桑托斯、肯尼亚共和国总统肯雅塔邀请，国务院总理李克强将于2014年5月4日至11日对上述四国进行正式访问。 O网页链接 ​​​​                                            ", 2014-4-30 12:22,27,评论,14,微博 weibo.com,B26SMudbj
