ID,微博内容
1,【“蓝眼泪”，用生命绽放的奇幻绚丽】日前，一名在福建平潭南湾露营的大学生拍摄到海滩上神奇的蓝光，整条海岸线被点亮，奇幻而炫丽！蓝光带由一种海底微生物“蓝眼泪”发出，发光是它们求偶的信号。被海浪冲上岸后，“蓝眼泪”生存不超过100秒，随着光芒消失，生命也就结束。O网页链接 ????????
2,
3,【根本停不下来：女子一年网购花11万】青岛的陈女士是个不折不扣的网购狂。仅从4月到6月，就网购了96单商品，其中服装34单、化妆品19单，食品19单...去年她更在网购上花掉11万。她的卫生间堆满了网购回来的杂物，其中不少都没怎么用过…O女子一年网购11万卫生间变仓库 看账单傻了眼你一年网购花了多少钱？ via @南方日报 ????????
4,#七一建党节##公安峥嵘岁月#【破获敌特“万能潜伏电台”】1950年2月，公安部、北京和天津警方联手破获一起国民党保密局潜伏特务案，主犯计兆祥、计采南等落网，搜出收发报机、密码本等谍报用品。计兆祥系国民党绥靖北平分台台长(保密局北平潜伏台台长)，曾将刺探到的北京军政情报。 ????????
5,#小编在现场#【世界杯淘汰赛交警喊你别酒驾】交警蜀黍温馨提醒：啤酒与球赛是分不开的朋友，喝酒可以，但不要酒后驾驶，尤其要提防“隔夜醉”，广州交警已将凌晨五、六点列入查酒驾的重点工作时间；其次是熬夜看球后，第二天要避免疲劳驾驶；最后不要因球赛输赢产生各种极端情绪而开斗气车。 ????????
6,#小编在现场#【世界杯淘汰赛交警喊你别酒驾】交警蜀黍柔性执法的4种提醒方式：1、派民警进入酒楼、食肆、酒吧开展酒后宣传。2、在酒楼、食肆、酒吧较为集中的地区进行流动执法劝导。3、对准备驾车离开的市民进行酒精检测。4、在酒楼、食肆、酒吧联合上述单位管理人员派发“拒绝酒后驾驶”爱心贴 ????????
7,#七一建党节##公安峥嵘岁月#【侦破“龚品梅反革命集团案”】上海解放后，龚品梅在美国间谍指挥下，忠实执行帝国主义和罗马教廷反共反华指令，煽动教徒对抗破坏人民政府。1955年9月，上海警方破获暗藏天主教上海教区内的龚品梅反革命集团案，缴获收发报机、手枪及反动指令、所盗机密文件等大量罪证。 ????????
8,#小编在现场#【世界杯淘汰赛交警喊你别酒驾】世界杯足球赛如火如荼，为呼吁广大市民自觉抵制酒驾，今晚，小编与交警蜀黍一起来到越秀区沿江路酒吧街，向市民群众宣传酒驾危害，呼吁抵制酒驾。交警部门将一连数日，安排民警在酒驾易发的时间、场所，将严查酒驾的工作前移至酒驾前柔性执法提醒。 ????????
9,【进一步推进户籍制度改革意见】中共中央政治局今天审议通过《关于进一步推进户籍制度改革的意见》。会议指出，要完善农村产权制度，维护好农民土地承包经营权、宅基地使用权、集体收益分配权。要区别情况、分类指导，由各地因地制宜实行差别化落户政策。O政治局会议通过进一步推进户籍制度改革意见 @公安部打四黑除四害 ????????
10,#警营文化#今天下午，广州公安文联美术书法协会举办了“庆祝建党93周年美术书法主题创作活动”，多位有着书画爱好的公安民警即兴挥毫泼墨，现场创作了几十幅书画作品，向党的生日献礼。 ????????
11,【便民措施 火热送上！】@广州公安 7月1日起推出案（事）件状态查询系统，市民群众可上广州金盾网查询今年以来相关案（事）件状态进展、结果等信息。详细操作流程，请点击长微博，简单便捷，快点告诉小伙伴们吧~“案（事）件状态查询系统“入口：O网页链接 ????????
12,【扩散！误服消毒剂等，立即“猛灌”牛奶护胃！】口渴饮茶，服务员错把84消毒液加进茶杯。近日曾女士遭遇惊险一幕，根据多年从医经验，紧急喝下两杯牛奶护胃，才没造成严重后果。专家提醒：误服漂白剂、消毒剂和杀虫剂，不能催吐，应立即大量服牛奶、蛋清或酸奶，并迅速就医。O医生误喝“毒茶”猛灌牛奶自救 ????????
13,【帮帮70岁老父！苦寻智障儿 几乎沦为乞丐】3个月前，河南杞县的马保龙来郑州打工，再也没有音信。70岁父亲马兵章一路捡饮料瓶来郑寻子，饿了就买馒头啃啃，晚上走到哪里睡哪里，下雨了睡立交桥下。你见过他的儿子吗？如有线索请联系18437838343，多次转发多份希望，帮帮他！O网页链接 ????????
14,【浙江农民发明灭蚊器 一晚能消灭5万只蚊子】浙江温岭，“灭蚊大王”施金驰发明出“光谱灭蚊器”，在蚊子密集的牲畜养殖场，“一晚上捉了1公斤多的蚊子。”灭蚊器看上去像灯笼，上面有盏灯，下面有个风扇，会发出蚊子喜爱的气味和特殊紫外线波段。O网页链接 灭蚊神器，想要一个不？ ????????
15,教你如何精确判断车距：太有用了！！ ????????
16,【医生误喝一杯消毒液 猛灌牛奶自救】嗓子干得冒烟，喝了杯茶后，赶忙叫餐厅服务员“续杯”。不料服务员忙中出错，竟把84消毒液加进杯子。近日，曾女士经历了惊险一幕。所幸当医生多年的她紧急喝下两杯牛奶护胃，才未造成严重后果。医生：误喝腐蚀性液体可即服牛奶或蛋清护胃！O医生误喝“毒茶”灌牛奶自救 ????????
17,【被盗汽车物归原主】今年以来，增城警方开展打击整治盗抢销机动车专项行动，共打掉盗抢销机动车团伙10余个，破获案件128宗，依法刑事拘留121人，缴获涉案车辆70余辆，其中包括省公安厅悬赏通告中的8号偷车贼。日前，警方将一批在盗窃机动车案件中缴获的车辆发还给事主。戳图学习汽车防盗妙招↓↓↓ ????????
