ID,微博内容
1,#晚安成都#年轻的时候，不该什么都不想，也不能想太多。想得太多会毁了你，我相信这话~~成功路上最心酸的是要耐得住寂寞、熬得住孤独，总有那么一段路是你一个人在走，一个人坚强和勇敢。也许这个过程要持续很久，但如果你挺过去了，最后的成功就属于你。（转） 晚安，各位！晚安，成都！ ????????
2,【六月最浪漫的时间表】#国内新闻#6月13日和21日，我们光用肉眼就能看到水星！水星可是400多年前哥白尼一生都未见过的行星，极难观测。6月23日，超级月亮将美到窒息！16日和27日分别是天琴座和牧夫座流星雨，后者据说每小时上百颗，听上就很诱人有没有！如此美好的初夏夜空，你期待吗？据@央视新闻 ????????
3,【想知道孩子未来身高吗?】#生活服务#男孩遗传身高=(父亲身高+母亲身高)/2＋6.5cm，女孩遗传身高=(父亲身高+母亲身高)/2－6.5cm。算出的是平均值，约70%-80%人的身高在平均值左右，但每个孩子有5-8厘米的长高空间，如何争取到这宝贵的几厘米，家长需了解孩子在各年龄段的发育知识哦。据@健康时报 ????????
4,【致我们逝去的童年】#博闻广记#小时候，麻麻总说我是河边捡来的，好忧桑；过年了，粑粑说帮我保管压岁钱，可是从此我就再也没见过……盘点那些儿时的谎言，纪念我们逝去的童年，祝各位儿童和大龄儿童们儿童节快乐！据@央视财经是真的吗 ????????
5,#动物趣图#这...真心觉得养只金毛和养只哈士奇的差别真是太大了！！！[hold住]「转」 ????????
6,【猛犸象有望复活，哇喔[噢耶] 】#环球新闻#一支俄罗斯探险团队在新西伯利亚群岛上发现了一具猛犸象尸体，这具尸体约存在于一万年以前，存有液态血液，保存较完好。科学家称，有可能在这具猛犸象尸体中找到活细胞，从而克隆这种存活在冰河世纪的巨型哺乳动物。PS:曼尼和艾莉是不是也要回来啦？据环球网 ????????
7,#博文广记#欧洲地图趣味版。有没有觉得自己瞬间就记下了TA们啦？图据@Summer说说 ????????
8,"【爱情正能量：三对情侣携手考研成功】#国内新闻#武汉科技大学工程力学专业，今年三对情侣双双考研成功：一对约好每周最多约会两次，一对从大二恋爱时就决定一起考研，一对将全部时间用在复习上，""我们都知道自己未来要什么，要为共同目标一起努力""。这样的爱情也挺浪漫，你觉得呢?O网页链接 ????????"
9,【戴眼镜、长期接触电脑等的人看过来】#生活服务#其实有个小窍门可以更好的保护自己的健康。为了保护眼睛，请对电脑作如下设置吧……据@微博小百科????????????
10,【2步做出超好吃的葱爆牛肉】#美食成都#原料：牛肉500g，大葱一根。蒜少许。1、牛肉切片，放入蛋清，料酒，老抽，腌制十分钟，加淀粉和食用油；2、锅内油热之后炒香一半葱丝和蒜末。放入牛肉炒到九成熟，加入剩余的葱段，生抽，盐，鸡粉，白胡椒，香油。翻炒，出锅。回家试试吧！据@999道私房菜 ????????
