ID,微博内容
1,#晚安心语#生活不想故意刁难谁，只要心中有不灭的诗意，就会永远活在葱茏的意境之中。在这样的人心里，即便山穷水尽，也不过是意境苍凉些，只要不置心于绝境，这个世界，也就不会有绝境。晚安。 ????????
2,#江淮之子#【皖籍军人叶乃阳候选“中国武警十大忠诚卫士”】叶乃阳，上海武警总队五支队某部班长代理排长，六安市裕安区人。2008年入伍以来，先后参加过上海世博会、广州大运会执勤和抗洪抢险、处突等重大任务，屡次立功。其爱心唤醒植物人事迹在军地内外广为传颂，被誉为“当代雷锋”、“最美武警”。 ????????
3,#生活贴士#【夏天快到了，赶紧学学挑西瓜】第一，西瓜底部的圈圈，越小越好，相反的，底部圈圈越大，皮越厚，越难吃：第二，颜色最好挑青绿色，不要雾雾白白的。第三，西瓜纹路整齐就是好瓜：第四，西瓜头，就是所谓的蒂头，若是直直的一条线，就不要，但若是卷曲圈起来的，就很甜。 ????????
4,#温馨提示#【45岁前戒烟可赚回9年寿命！】研究人员发现，如果35-44岁戒烟，可以挽回9年寿命；45-54岁戒烟能挽回6年寿命，55-64岁戒烟也能延长4年生命。此外，无论烟龄长短，如能在34岁前戒烟，则对寿命影响不大，就如同从未吸过烟一样。放下手中的烟吧，为你和家人赢来宝贵的相聚时光！via@人民日报 ????????
5,#微播江淮#【合肥有支“月亮部队”】合肥市政工程管理处有一支“月亮部队”，他们承担着全市8座高架桥、49座重要桥梁、一环二环快速环道、23000多盏路灯、16万盏景观照明等的快速养护维修。由于他们施工时选择在夜间，尽力降低施工对城市交通和市民的影响，被形象地称为“月亮部队”。 ????????
6,#微播江淮#【黄山“电子眼”保游客安全】黄山风景区近年投入1.5亿元，建成了覆盖全山的数字化保护管理指挥调度中心。“五一”前夕，又对该系统升级，再新装11个摄像头，目前景区共有104个摄像头，对热点地区和主要路段实现监控全覆盖，一旦发现情况，工作人员可在8分钟内赶到现场处置。 ????????
7,#民生连线#【太阳能肥水机下巢湖】日前，一种新型太阳能肥水机在巢湖市组装完成并投入试验应用。该机由中国水科院渔业机械研究所研发，以太阳能发电为动力，搅动水层，培肥水质，加速浮游生物生长繁殖，加快鱼类生长速度，达到增产增效的目的。 ????????
8,#微播江淮#【合肥武警举行反恐大演练】昨天，武警安徽总队合肥支队在训练基地举行了以“反袭击、反爆炸、反劫持、反破坏”为主要内容的综合演练。演练包括快速封锁、特殊侦察、合力歼敌等课目，旨在检验反恐特战队员战斗力，提高部队处置不同情况、不同环境、不同规模恐怖事件的能力。 ????????
9,#微播江淮#【中国-庐江第三届风筝文化节昨开幕】昨日，来自北京、天津、潍坊、太原、合肥、芜湖等省内外的15支知名风筝代表队带着近千只风筝，放飞对美好生活的祝愿，其中不乏一些风筝大师的身影。此次风筝节还将开展“写风筝、画风筝”诗、书、画征集及网络风筝图片、摄影征集展览评选活动。 ????????
10,#温馨提示#【环巢湖观光巴士推出短线游】“五一”想去巢湖玩的朋友注意啦，环巢湖旅游观光巴士推出滨湖时代广场到中庙的短线游，往返价格30元/人。路线为：滨湖时代广场—“滨湖两馆”―滨湖湿地森林公园―南淝河大桥―长临河古镇―中庙(姥山)。原有从合肥旅游集散中心到巢湖国际饭店的线路继续运行。 ????????
11,#微播江淮#【省部共建合肥工业大学】近日，教育部、工业和信息化部、省政府签署协议，共建合肥工业大学，省部联手推进该校“211工程”建设、“985工程”优势学科创新平台建设和高等学校创新能力提升计划，支持该校电动汽车与分布式能源协同创新中心项目建设。O网页链接 ????????
12,#微播江淮#【各地开展小麦赤霉病防控】沿淮麦区、江淮中北部麦区、淮北部分麦区小麦正处于抽穗开花易感赤霉病时期。为减轻损失，各地农业部门开展小麦赤霉病防控。截止25日，全省小麦主要病虫害发生面积3750万亩次，已开展防治面积7735万亩次，其中赤霉病预防面积2650万亩次，占预计发生面积的132.5% ????????
13,#微播江淮#【全国首批餐饮安全示范县出炉 我省五地上榜】近日，经地方推荐、专家审评、网站公示等程序，国家食品药品监督管理总局日前评定首批85个餐饮安全示范县，我省池州市贵池区、歙县、天长市、和县、潜山县五县市区严格餐饮服务许可，实施餐饮服务单位量化分级管理，成功跻身国家示范县。 ????????
14,"#您好安徽#【国际不打小孩日】今天是“国际不打小孩日”，最早由美国民间反体罚组织""有效管理中心""发起，目的是为了宣传反体罚的儿童人权观念，引起社会的重视。后来逐渐得到了国际响应，每年欧洲、美洲、非洲和亚洲的多数国家也在这一天举办活动，倡议终止体罚，推广正面管教方式。 ????????"
15,#晚安心语#【妥协的智慧】和命运较劲，是一种智慧；与生活妥协，是另一种智慧。这又是怎样的一种智慧呢？看起来你与生活讲和了，却最终赢了他。“我们与世界，互相而已”。亲，晚安。 ????????
16,#山水安徽#【白崖寨】白崖寨位于宿松县，东峰、西峰、夕阳尖、雁恋坡、大印坡五大山峰，壁立千仞，傲然挺拔，被长长的寨墙包围，蜿蜒起伏，有“南国小长城”美誉。寨城四周5座城门，相传曾是史可法点将台，易守难攻，为兵家必争之地。山上奇松怪石、溪流飞瀑，自然风光和人文景观相互辉映，相得益彰。 ????????
